"","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"3692643",7,29,2,919,920,1029,1035,"WN",2626,"N375SW",70,75,59,-6,-1,"LAX","RNO",390,5,6,0,"",0,NA,NA,NA,NA,NA
"2365105",4,15,2,1420,1420,1544,1550,"CO",1557,"N76505",144,150,124,-6,0,"IAH","DEN",861,7,13,0,"",0,NA,NA,NA,NA,NA
"1253525",3,26,3,1714,1715,2026,2040,"WN",1576,"N651SW",132,145,119,-14,-1,"OAK","DEN",957,7,6,0,"",0,NA,NA,NA,NA,NA
"3668022",7,22,2,2013,1925,2203,2125,"WN",1050,"N520SW",230,240,210,38,48,"BWI","DEN",1491,5,15,0,"",0,0,0,3,0,35
"3621751",7,8,2,1308,1305,NA,1610,"WN",1922,"N383SW",NA,125,NA,NA,3,"LAS","DEN",629,NA,10,0,"",1,NA,NA,NA,NA,NA
"3340093",6,5,4,1914,1900,1,2335,"F9",360,"N904FR",167,155,133,26,14,"DEN","SDF",1023,7,27,0,"",0,0,0,12,0,14
"2318286",4,13,7,1852,1855,2116,2116,"AS",358,"N614AS",144,141,128,0,-3,"SEA","BUR",937,2,14,0,"",0,NA,NA,NA,NA,NA
"2549236",5,18,7,1825,1825,2125,2136,"OH",5482,"N679CA",120,131,96,-11,0,"DFW","CVG",812,10,14,0,"",0,NA,NA,NA,NA,NA
"6439662",11,12,3,1032,1030,1440,1507,"CO",40,"N68155",188,217,167,-27,2,"IAH","EWR",1400,9,12,0,"",0,NA,NA,NA,NA,NA
"4478787",8,9,6,832,650,955,806,"UA",759,"N412UA",143,136,103,109,102,"PHL","ORD",678,8,32,0,"",0,102,0,7,0,0
"2518128",5,8,4,1648,1425,1847,1634,"XE",2763,"N16511",119,129,72,133,143,"BGR","EWR",393,17,30,0,"",0,0,0,133,0,0
"1386733",3,25,2,1808,1803,2010,1949,"OO",5973,"N712SK",182,166,159,21,5,"DEN","MFR",964,4,19,0,"",0,0,0,0,0,21
"756356",2,15,5,1730,1735,2000,2003,"OH",5163,"N912CA",150,148,140,-3,-5,"PVD","CVG",722,3,7,0,"",0,NA,NA,NA,NA,NA
"5591075",10,13,1,1041,1041,1255,1250,"UA",322,"N565UA",134,129,113,5,0,"SFO","SEA",679,6,15,0,"",0,NA,NA,NA,NA,NA
"4206490",7,7,1,656,700,812,805,"CO",314,"N16709",76,65,52,7,-4,"DFW","IAH",224,9,15,0,"",0,NA,NA,NA,NA,NA
"4952080",9,14,7,NA,1105,NA,1414,"XE",2961,"",NA,129,NA,NA,NA,"IAH","GSP",838,NA,NA,1,"B",0,NA,NA,NA,NA,NA
"3572429",6,7,6,1420,1400,1814,1807,"CO",466,"N57868",234,247,205,7,20,"SJU","EWR",1608,16,13,0,"",0,NA,NA,NA,NA,NA
"3553873",6,30,1,1904,1905,2156,2220,"B6",47,"N506JB",172,195,151,-24,-1,"JFK","FLL",1069,3,18,0,"",0,NA,NA,NA,NA,NA
"2986954",5,11,7,58,30,744,744,"DL",986,"N685DA",226,254,202,0,28,"LAX","ATL",1946,8,16,0,"",0,NA,NA,NA,NA,NA
"2166032",4,10,4,1416,1421,1517,1525,"MQ",3072,"N340RC",61,64,46,-8,-5,"SBP","LAX",155,6,9,0,"",0,NA,NA,NA,NA,NA
"6352191",11,2,7,1705,1710,2019,2033,"9E",2981,"87109E",134,143,109,-14,-5,"JAN","DTW",777,10,15,0,"",0,NA,NA,NA,NA,NA
"2079448",4,29,2,519,525,647,708,"US",1889,"N406US",88,103,70,-21,-6,"MCO","CLT",468,4,14,0,"",0,NA,NA,NA,NA,NA
"1271208",3,31,1,1135,1135,1450,1450,"WN",3161,"N728SW",135,135,117,0,0,"STL","MCO",880,8,10,0,"",0,NA,NA,NA,NA,NA
"2228261",4,10,4,2110,1805,2325,2022,"NW",1175,"N926NW",135,137,106,183,185,"BNA","MSP",695,13,16,0,"",0,151,0,0,0,32
"5953487",11,6,4,748,750,902,905,"WN",1766,"N389SW",74,75,60,-3,-2,"SMF","ONT",389,5,9,0,"",0,NA,NA,NA,NA,NA
"5087862",9,13,6,1339,1225,1631,1513,"US",614,"N658AW",172,168,144,78,74,"SEA","PHX",1107,6,22,0,"",0,74,0,4,0,0
"3350286",6,4,3,641,645,817,800,"FL",216,"N272AT",156,135,119,17,-4,"LGA","MKE",738,4,33,0,"",0,0,0,17,0,0
"5026988",9,23,2,2249,2259,2339,2356,"OO",5535,"N579SW",50,57,36,-17,-10,"LAX","SMX",135,2,12,0,"",0,NA,NA,NA,NA,NA
"5494081",10,13,1,1503,1510,1630,1640,"XE",3097,"N13995",147,150,123,-10,-7,"IND","IAH",845,14,10,0,"",0,NA,NA,NA,NA,NA
"244862",1,9,3,1730,1647,1903,1825,"UA",941,"N571UA",153,158,135,38,43,"ORD","DEN",888,8,10,0,"",0,19,0,0,0,19
"4292850",8,20,3,1215,1215,1417,1425,"WN",242,"N397SW",62,70,48,-8,0,"PHX","ELP",347,3,11,0,"",0,NA,NA,NA,NA,NA
"745315",2,26,2,2314,2249,106,36,"YV",2926,"N918FJ",112,107,91,30,25,"PHX","DEN",602,9,12,0,"",0,30,0,0,0,0
"1888232",4,11,5,1556,1600,1722,1726,"XE",600,"N14203",86,86,74,-4,-4,"MSY","AUS",445,5,7,0,"",0,NA,NA,NA,NA,NA
"75303",1,26,6,1501,1445,1727,1715,"WN",544,"N439WN",266,270,246,12,16,"DTW","PHX",1671,6,14,0,"",0,NA,NA,NA,NA,NA
"5214078",9,18,4,1026,1035,1117,1135,"MQ",4341,"N801AE",51,60,40,-18,-9,"CWA","ORD",213,6,5,0,"",0,NA,NA,NA,NA,NA
"2213254",4,17,4,1455,1500,1606,1617,"NW",357,"N551NW",71,77,50,-11,-5,"MKE","MSP",297,5,16,0,"",0,NA,NA,NA,NA,NA
"6721775",12,24,3,2020,2020,2130,2128,"US",1898,"N107US",70,68,52,2,0,"PHL","PIT",267,5,13,0,"",0,NA,NA,NA,NA,NA
"361872",1,12,6,909,915,1005,948,"FL",188,"N988AT",116,93,83,17,-6,"ATL","STL",483,8,25,0,"",0,0,0,17,0,0
"2576784",5,13,2,1524,1531,1642,1652,"OO",6397,"N953SW",78,81,55,-10,-7,"SFO","ONT",363,4,19,0,"",0,NA,NA,NA,NA,NA
"5006542",9,9,2,1849,1855,1940,1952,"OO",5465,"N301YV",51,57,35,-12,-6,"SMX","LAX",135,6,10,0,"",0,NA,NA,NA,NA,NA
"4541515",8,19,2,557,600,741,744,"DL",1274,"N674DL",104,104,85,-3,-3,"PBI","ATL",545,5,14,0,"",0,NA,NA,NA,NA,NA
"5163189",9,4,4,552,600,801,824,"FL",660,"N971AT",129,144,109,-23,-8,"HPN","ATL",780,8,12,0,"",0,NA,NA,NA,NA,NA
"1299089",3,28,5,1743,1605,1949,1820,"XE",3082,"N12924",126,135,88,89,98,"SDF","EWR",642,8,30,0,"",0,0,0,89,0,0
"4311858",8,26,2,1736,1740,2104,2130,"WN",1359,"N761RR",148,170,132,-26,-4,"MDW","TPA",997,4,12,0,"",0,NA,NA,NA,NA,NA
"4302315",8,23,6,1220,1220,1320,1330,"WN",1045,"N604SW",60,70,49,-10,0,"MSY","HOU",303,5,6,0,"",0,NA,NA,NA,NA,NA
"2739439",5,31,6,1456,1505,1609,1618,"F9",331,"N810FR",73,73,54,-9,-9,"DEN","ABQ",349,7,12,0,"",0,NA,NA,NA,NA,NA
"937761",2,26,2,1052,1046,1415,1411,"F9",168,"N810FR",143,145,129,4,6,"SJC","DEN",948,5,9,0,"",0,NA,NA,NA,NA,NA
"32607",1,13,7,836,840,918,925,"WN",3056,"N641SW",42,45,29,-7,-4,"HOU","AUS",148,6,7,0,"",0,NA,NA,NA,NA,NA
"3786715",7,4,5,1405,1407,1701,1714,"OO",6128,"N774SK",116,127,99,-13,-2,"ORD","ORF",717,4,13,0,"",0,NA,NA,NA,NA,NA
"4647811",8,15,5,1805,1745,1915,1900,"MQ",4178,"N646AE",130,135,111,15,20,"RIC","ORD",642,5,14,0,"",0,0,0,0,0,15
"1465165",3,22,6,1153,1200,1438,1454,"US",1563,"N440US",165,174,153,-16,-7,"PHL","FLL",992,2,10,0,"",0,NA,NA,NA,NA,NA
"3973933",7,6,7,1012,1016,1143,1152,"FL",926,"N603AT",91,96,71,-9,-4,"RIC","ATL",481,11,9,0,"",0,NA,NA,NA,NA,NA
"3461937",6,11,3,1028,1030,1227,1245,"9E",4777,"88779E",119,135,95,-18,-2,"IND","LGA",659,9,15,0,"",0,NA,NA,NA,NA,NA
"4130051",7,2,3,1727,1655,2321,2235,"AA",1516,"N3DGAA",234,220,199,46,32,"SEA","DFW",1660,16,19,0,"",0,0,0,14,0,32
"6928493",12,16,2,943,930,1400,1310,"AA",1600,"N3DDAA",197,160,145,50,13,"DFW","DCA",1192,4,48,0,"",0,0,13,37,0,0
"5674560",10,24,5,1931,1715,2307,2015,"DL",797,"N964DL",156,120,96,172,136,"ORD","ATL",606,13,47,0,"",0,3,0,59,0,110
"2814574",5,5,1,1906,1912,1925,1918,"NW",235,"N314US",79,66,51,7,-6,"DTW","MKE",238,7,21,0,"",0,NA,NA,NA,NA,NA
"2226440",4,29,2,938,945,1024,1014,"NW",1021,"N675MC",106,89,73,10,-7,"GRR","MSP",408,27,6,0,"",0,NA,NA,NA,NA,NA
"16967",1,8,2,1807,1805,1943,1955,"WN",172,"N739GB",156,170,140,-12,2,"MCO","MDW",989,6,10,0,"",0,NA,NA,NA,NA,NA
"1741746",3,31,1,2202,2045,2334,2235,"B6",1289,"N238JB",92,110,79,59,77,"BOS","RIC",474,3,10,0,"",0,9,0,0,0,50
"5642213",10,21,2,2159,2200,2340,2347,"US",1496,"N184US",101,107,72,-7,-1,"CLT","LGA",544,7,22,0,"",0,NA,NA,NA,NA,NA
"5153702",9,3,3,2132,2140,2224,2234,"F9",789,"N915FR",112,114,91,-10,-8,"DEN","LAS",629,7,14,0,"",0,NA,NA,NA,NA,NA
"3378773",6,8,7,819,825,933,940,"MQ",3154,"N822AE",74,75,60,-7,-6,"SNA","SJC",342,5,9,0,"",0,NA,NA,NA,NA,NA
"3787752",7,5,6,853,854,939,947,"OO",5784,"N295SW",46,53,34,-8,-1,"SEA","PDX",129,4,8,0,"",0,NA,NA,NA,NA,NA
"5431543",10,17,5,903,900,1006,1010,"WN",238,"N664WN",63,70,50,-4,3,"LAX","OAK",337,6,7,0,"",0,NA,NA,NA,NA,NA
"1489063",3,22,6,632,620,914,905,"DL",1105,"N3754A",282,285,264,9,12,"IAD","SLC",1827,6,12,0,"",0,NA,NA,NA,NA,NA
"3291590",6,29,7,1010,1005,1119,1122,"US",182,"N831AW",69,77,47,-3,5,"PHX","SAN",304,7,15,0,"",0,NA,NA,NA,NA,NA
"3832408",7,30,3,905,905,1139,1124,"UA",59,"N670UA",334,319,293,15,0,"SFO","KOA",2367,5,36,0,"",0,0,0,15,0,0
"3030171",6,13,5,2003,1750,2159,1955,"WN",467,"N450WN",116,125,104,124,133,"CMH","MCO",802,5,7,0,"",0,0,0,0,0,124
"4281394",8,17,7,1715,1720,1833,1845,"WN",2184,"N400WN",78,85,58,-12,-5,"LAS","RNO",345,5,15,0,"",0,NA,NA,NA,NA,NA
"2206547",4,27,7,1700,1710,1946,1900,"MQ",4918,"N704PG",166,110,74,46,-10,"CMH","LGA",478,6,86,0,"",0,0,0,46,0,0
"1705259",3,12,3,959,1005,1302,1315,"AA",2062,"N5CHAA",183,190,158,-13,-6,"MIA","BOS",1258,4,21,0,"",0,NA,NA,NA,NA,NA
"1951177",4,23,3,1645,1645,1749,1749,"OH",5135,"N916CA",64,64,42,0,0,"CVG","TYS",226,4,18,0,"",0,NA,NA,NA,NA,NA
"1349100",3,3,1,1433,1430,1731,1730,"OO",2762,"N710BR",118,120,100,1,3,"MKE","CLT",651,8,10,0,"",0,NA,NA,NA,NA,NA
"2953325",5,25,7,1258,1312,1541,1559,"CO",1016,"N12313",163,167,149,-18,-14,"RSW","CLE",1025,3,11,0,"",0,NA,NA,NA,NA,NA
"329520",1,8,2,742,715,940,913,"EV",4364,"N820AS",118,118,98,27,27,"CAK","ATL",528,4,16,0,"",0,27,0,0,0,0
"1606463",3,19,3,1937,1840,2131,2029,"NW",205,"N773NC",114,109,77,62,57,"MEM","ORD",491,3,34,0,"",0,12,0,5,0,45
"1182497",3,5,3,1328,1325,1622,1625,"WN",23,"N378SW",114,120,101,-3,3,"HOU","JAX",816,5,8,0,"",0,NA,NA,NA,NA,NA
"5777148",10,30,4,NA,620,NA,1029,"MQ",4912,"N719MQ",NA,189,NA,NA,NA,"XNA","LGA",1147,NA,NA,1,"A",0,NA,NA,NA,NA,NA
"3366591",6,25,3,1126,1128,1827,1840,"FL",774,"N167AT",241,252,210,-13,-2,"LAS","ATL",1747,8,23,0,"",0,NA,NA,NA,NA,NA
"2836391",5,14,3,1413,1420,1542,1543,"NW",1420,"N8925E",89,83,62,-1,-7,"MEM","VPS",369,9,18,0,"",0,NA,NA,NA,NA,NA
"509013",1,5,6,1029,1020,1221,1200,"AA",1463,"N477AA",172,160,130,21,9,"ORD","DEN",888,5,37,0,"",0,9,0,12,0,0
"2628388",5,6,2,1015,1019,1455,1506,"UA",728,"N804UA",160,167,136,-11,-4,"DEN","DTW",1123,8,16,0,"",0,NA,NA,NA,NA,NA
"6020813",11,27,4,1216,1220,1342,1330,"WN",1007,"N711HK",146,130,118,12,-4,"PHX","SFO",651,9,19,0,"",0,NA,NA,NA,NA,NA
"5361576",9,28,7,1448,1455,1553,1606,"CO",1799,"N14335",65,71,44,-13,-7,"IAH","MSY",305,4,17,0,"",0,NA,NA,NA,NA,NA
"431211",1,15,2,648,650,854,901,"NW",456,"N769NC",126,131,87,-7,-2,"MSP","MEM",700,4,35,0,"",0,NA,NA,NA,NA,NA
"4002812",7,20,7,914,915,1006,1010,"MQ",3191,"N822AE",52,55,30,-4,-1,"LAX","SAN",109,6,16,0,"",0,NA,NA,NA,NA,NA
"1085739",2,2,6,713,715,836,845,"AA",1565,"N442AA",83,90,60,-9,-2,"ORD","MSP",334,7,16,0,"",0,NA,NA,NA,NA,NA
"1424980",3,9,7,759,800,1550,1600,"UA",914,"N658UA",291,300,269,-10,-1,"SFO","IAD",2419,6,16,0,"",0,NA,NA,NA,NA,NA
"3331841",6,8,7,1312,1318,1500,1510,"EV",4703,"N937EV",108,112,79,-10,-6,"PHF","ATL",508,22,7,0,"",0,NA,NA,NA,NA,NA
"2373408",4,4,5,627,630,1410,1357,"DL",1469,"N657DL",283,267,259,13,-3,"SMF","ATL",2092,12,12,0,"",0,NA,NA,NA,NA,NA
"3065633",6,23,1,1050,815,1229,940,"WN",2125,"N638SW",99,85,78,169,155,"SAN","SFO",447,4,17,0,"",0,0,0,130,0,39
"4558097",8,11,1,936,942,1100,1104,"EV",4210,"N883AS",84,82,53,-4,-6,"ATL","FAY",331,6,25,0,"",0,NA,NA,NA,NA,NA
"4097759",7,18,5,1024,900,1445,1300,"AA",73,"N369AA",561,540,533,105,84,"ORD","HNL",4243,3,25,0,"",0,84,0,21,0,0
"3950224",7,16,3,1632,1636,1919,1919,"EV",4642,"N839AS",107,103,81,0,-4,"AEX","ATL",500,15,11,0,"",0,NA,NA,NA,NA,NA
"1399657",3,21,5,2041,2050,437,448,"UA",76,"N665UA",296,298,263,-11,-9,"HNL","SFO",2398,4,29,0,"",0,NA,NA,NA,NA,NA
"4977618",9,28,7,1459,1509,1745,1752,"YV",2896,"N437YV",106,103,85,-7,-10,"PHX","DRO",351,5,16,0,"",0,NA,NA,NA,NA,NA
"3631477",7,11,5,2049,2010,2200,2120,"WN",801,"N741SA",71,70,53,40,39,"CLE","BWI",314,2,16,0,"",0,0,0,1,0,39
"5086636",9,12,5,31,2249,135,2358,"US",1443,"N965UW",64,69,44,97,102,"PHL","PIT",267,4,16,0,"",0,10,0,0,0,87
"650418",2,16,6,1200,1140,1206,1155,"WN",2888,"N611SW",126,135,112,11,20,"LBB","LAS",775,7,7,0,"",0,NA,NA,NA,NA,NA
"6138121",11,26,3,1406,1415,1457,1530,"UA",357,"N929UA",111,135,102,-33,-9,"BWI","ORD",622,2,7,0,"",0,NA,NA,NA,NA,NA
"6272366",11,29,6,2235,2040,20,2215,"FL",519,"N919AT",105,95,60,125,115,"ATL","CMH",446,5,40,0,"",0,115,0,10,0,0
"4703205",8,22,5,700,705,800,820,"9E",5700,"88009E",120,135,101,-20,-5,"PIT","MEM",652,7,12,0,"",0,NA,NA,NA,NA,NA
"603602",1,13,7,1332,1340,1450,1455,"DL",1573,"N910DL",138,135,112,-5,-8,"ATL","MCI",692,8,18,0,"",0,NA,NA,NA,NA,NA
"1868440",4,26,6,1837,1830,2205,2215,"WN",2506,"N414WN",148,165,140,-10,7,"MDW","RSW",1105,3,5,0,"",0,NA,NA,NA,NA,NA
